市,人口2005,人口2015,change
兰州市,3149600.00 ,3693100,0.172561595
嘉峪关市,184300.00 ,243900,0.323385784
金昌市,464200.00 ,470500,0.013571736
白银市,1745500.00 ,1709900,-0.020395302
天水市,3404600.00 ,3311700,-0.027286612
武威市,1893800.00 ,1816400,-0.040870208
张掖市,1269700.00 ,1219800,-0.039300622
平凉市,2185100.00 ,2098000,-0.039860876
酒泉市,977600.00 ,1115400,0.140957447
庆阳市,2514200.00 ,2230500,-0.112839074
定西市,2944100.00 ,2778300,-0.056316022
陇南市,2608900.00 ,2590900,-0.00689946
临夏州,1926900.00 ,2012116.545,0.044224685
甘南州,675000.00 ,705000,0.044444444
,,,
source：,,,
2006年甘肃省统计年鉴：2-3 各 地 县 人 口,,,
2016年甘肃省统计年鉴：2-5 各地区城乡人口及构成（2015）,,,
